player,money
0,303.0
1,201.0
2,111.0
3,87.0
4,103.0
5,0.0
6,0.0
7,169.0
8,0.0
9,159.0
10,0.0
11,0.0
12,123.0
13,269.0
14,59.0
15,171.0
16,140.0
17,99.0
18,252.0
19,148.0
20,73.0
21,312.0
22,0.0
23,51.0
24,220.0
25,238.0
26,70.0
27,58.0
28,0.0
29,210.0
30,227.0
31,0.0
32,358.0
33,0.0
34,264.0
35,0.0
36,0.0
37,114.0
38,122.0
39,266.0
40,0.0
41,130.0
42,0.0
43,0.0
44,266.0
45,0.0
46,0.0
47,216.0
48,307.0
49,0.0
50,0.0
51,116.0
52,184.0
53,227.0
54,55.0
55,0.0
56,308.0
57,0.0
58,220.0
59,0.0
60,0.0
61,0.0
62,93.0
63,247.0
64,0.0
65,0.0
66,311.0
67,0.0
68,332.0
69,138.0
70,0.0
71,0.0
72,114.0
73,0.0
74,0.0
75,63.0
76,237.0
77,0.0
78,243.0
79,91.0
80,154.0
81,134.0
82,0.0
83,92.0
84,0.0
85,0.0
86,74.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,154.0
93,0.0
94,0.0
95,232.0
96,0.0
97,0.0
98,198.0
99,87.0
